"response_id","country_of_residence","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","single_or_others","no_people_over_15","no_people_under_15","age_range","reasons_for_travel_secondary","satisfaction_rating","expectation_rating","recommend_rating","satisfaction_reason"
"GEN24_1076630","United States of America","USA","Female","No","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","World of Wearable Arts Show"
"GEN24_1076665","Australia","Australia","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"35 - 39","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Adventure and entertainment activities"
"GEN24_1076859","Australia","Australia","Female","No","Holiday / vacation","For some other reason (please specify)","What the visit to NZ cost just for yourself",NA,NA,"70 - 74","Other","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Birds and wildlife"
"GEN24_1076957","Philippines","Rest of Asia","Male","Yes","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"35 - 39","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","Skydiving"
"GEN24_1077162","Australia","Australia","Female","No","Visiting friends / relatives","To visit friends","What the visit to NZ cost just for yourself",NA,NA,"25 - 29","Holiday / vacation","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","The unique wildlife"
"GEN24_1077222","Australia","Australia","Female","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"75 or older","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Open Garden tour"
"GEN24_1077251","United States of America","USA","Female","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","No other reason","4 - Satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Winery"
"GEN24_1077264","Sweden","Rest of Europe","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"20 - 24","No other reason","4 - Satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Hobbiton movie set"
"GEN24_1077417","United States of America","USA","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","9","Adventure activities like whitewater rafting"
"GEN24_1077429","United States of America","USA","Female","No","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"50 - 54","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Alps-2-Ocean Cycle Trail"
"GEN24_1077600","Australia","Australia","Male","No","Holiday / vacation","For some other reason (please specify)","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","mountain bike trail network"
"GEN24_1077941","Japan","Japan","Female","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8","ホビット村"
"GEN24_1078006","Australia","Australia","Female","No","Visiting friends / relatives","To visit family","What the visit cost for you and another person / people",3,0,"25 - 29","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","Shopping at various grocery stores and local clothing outlets"
"GEN24_1078110","Australia","Australia","Male","No","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"75 or older","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","Cycling on rail trails"
"GEN24_1078204","Scotland","UK","Female","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"30 - 34","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","9","The native wildlife especially leaf veined slugs"
"GEN24_1078223","United States of America","USA","Female","Yes","Holiday / vacation","To go sightseeing","What the visit cost for you and another person / people",4,0,"65 - 69","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Maori cultural Center Haka and other dancing and singing, and hangi; coffee!!; geothermal pools; stargazing!! WISH we'd seen aurora ..."
"GEN24_1078267","Malaysia","Rest of Asia","Male","No","Visiting friends / relatives","To visit family","What the visit to NZ cost just for yourself",NA,NA,"35 - 39","Holiday / vacation","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","8","Swimming"
"GEN24_1078509","Australia","Australia","Female","No","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"65 - 69","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Wildlife tours, especially albatross centre"
"GEN24_1078511","England","UK","Male","Yes","Visiting friends / relatives","To visit family","What the visit cost for you and another person / people",2,0,"70 - 74","Holiday / vacation","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Musical theatre performed by local amateurs in Blenheim was a highlight"
"GEN24_1078519","England","UK","Male","Yes","Holiday / vacation","To go sightseeing","What the visit to NZ cost just for yourself",NA,NA,"50 - 54","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Skywalk in Auckland, Rundflug in Rotorua"
"GEN24_1078520","England","UK","Male","Yes","Holiday / vacation","Just for the holiday","What the visit cost for you and another person / people",2,0,"55 - 59","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","SAUBERE Öffentliche Toiletten"
"GEN24_1078824","Canada","Canada","Female","Yes","Holiday / vacation","For some other reason (please specify)","What the visit cost for you and another person / people",2,0,"60 - 64","No other reason","5 - Very satisfied","1 - Exceed the expectations you had before you arrived in New Zealand","10 - Extremely likely to recommend","Golf"
"GEN24_1078835","Singapore","Rest of Asia","Male","Yes","Holiday / vacation","Just for the holiday","What the visit to NZ cost just for yourself",NA,NA,"30 - 34","No other reason","5 - Very satisfied","2 - Meet the expectations you had before you arrived in New Zealand","8","public toilet"
